2	"Peugeot Partner	2011	hudieaaw	SUV	https://	https://	21321.0
3	"Peugeot Partner	2010	test descriptions	Coupe	http://	http://	19600.0
4	Aixam eAIXAM	2018	Dimensions: 2762 x 1500 mm	Hatchback	https://www.auto-data.net/images/f20/Aixam-eCITY-PREMIUM_thumb.jpg	https://www.auto-data.net/en/aixam-eaixam-compact-generation-6881	23000.0
5	Aixam eAIXAM	2018	Dimensions: 2762 x 1500 mm	Hatchback	https://www.auto-data.net/images/f20/Aixam-eCITY-PREMIUM_thumb.jpg	https://www.auto-data.net/en/aixam-eaixam-compact-generation-6881	24000.0
6	Zhidou D1	2014	Dimensions: 2763 x 1539 x 1524 mm	Hatchback	https://www.auto-data.net/images/f39/Zhidou-D2_thumb.jpg	https://www.auto-data.net/en/zhidou-d1-generation-6323	25000.0
7	Zhidou D2	2017	Dimensions: 2806 x 1540 x 1555 mm	Hatchback	https://www.auto-data.net/img/no.jpg	https://www.auto-data.net/en/zhidou-d2-generation-6324	26000.0
8	Zhidou D3	2018	Dimensions: 2808 x 1499 x 1555 mm	Hatchback	https://www.auto-data.net/img/no.jpg	https://www.auto-data.net/en/zhidou-d3-generation-6326	27000.0
9	Aixam eAIXAM	2017	Dimensions: 3000 x 1500 mm	Coupe	https://www.auto-data.net/img/no.jpg	https://www.auto-data.net/en/aixam-eaixam-coupe-generation-6882	28000.0
10	Aixam eAIXAM	2017	Dimensions: 3000 x 1500 mm	Coupe	https://www.auto-data.net/img/no.jpg	https://www.auto-data.net/en/aixam-eaixam-coupe-generation-6882	29000.0
11	Aixam eAIXAM	2017	Dimensions: 3000 x 1500 mm	Coupe	https://www.auto-data.net/img/no.jpg	https://www.auto-data.net/en/aixam-eaixam-coupe-generation-6882	30000.0
12	Zacua MX2	2017	Dimensions: 3065 x 1770 x 1442 mm	Coupe	https://www.auto-data.net/images/f111/Zacua-MX2_thumb.jpg	https://www.auto-data.net/en/zacua-mx2-generation-7508	31000.0
13	Zacua MX3	2017	Dimensions: 3065 x 1770 x 1442 mm	Hatchback	https://www.auto-data.net/img/no.jpg	https://www.auto-data.net/en/zacua-mx3-generation-7509	32000.0
14	Uniti One	2018	Dimensions: 3222 x 1709 x 1505 mm	Hatchback	https://www.auto-data.net/img/no.jpg	https://www.auto-data.net/en/uniti-one-generation-7381	33000.0
15	MINEmobility City	2018	Dimensions: 3250 x 1750 x 1600 mm	Hatchback	https://www.auto-data.net/img/no.jpg	https://www.auto-data.net/en/minemobility-city-ev-concept-generation-6873	34000.0
16	e.GO Life	2018	Dimensions: 3348 x 1700 x 1567 mm	Hatchback	https://www.auto-data.net/images/f7/e.GO-Life_thumb.jpg	https://www.auto-data.net/en/e.go-life-generation-6448	35000.0
17	e.GO Life	2018	Dimensions: 3348 x 1700 x 1567 mm	Hatchback	https://www.auto-data.net/images/f7/e.GO-Life_thumb.jpg	https://www.auto-data.net/en/e.go-life-generation-6448	36000.0
18	Jiangling E100	2016	Dimensions: 3427 x 1565 x 1450 mm	Hatchback	https://www.auto-data.net/img/no.jpg	https://www.auto-data.net/en/jiangling-e100-generation-6184	37000.0
19	ORA R1	2018	Dimensions: 3495 x 1660 x 1560 mm	Hatchback	https://www.auto-data.net/img/no.jpg	https://www.auto-data.net/en/ora-r1-generation-7378	38000.0
20	Volkswagen e	2013	Dimensions: 3540 x 1645 x 1489 mm	Hatchback	https://www.auto-data.net/images/f44/Volkswagen-e-Up_thumb.jpg	https://www.auto-data.net/en/volkswagen-e-up-generation-7303	39000.0
21	Seat Mii	2019	Dimensions: 3556 x 1645 x 1481 mm	Hatchback	https://www.auto-data.net/images/f42/Seat-Mii-Electric_thumb.jpg	https://www.auto-data.net/en/seat-mii-electric-generation-7344	40000.0
22	Jiangling E200	2016	Dimensions: 3580 x 1570 x 1485 mm	Hatchback	https://www.auto-data.net/img/no.jpg	https://www.auto-data.net/en/jiangling-e200-generation-6186	41000.0
23	Volkswagen e	2019	Dimensions: 3600 x 1645 x 1492 mm	Hatchback	https://www.auto-data.net/images/f104/Volkswagen-e-Up-facelift-2019_thumb.jpg	https://www.auto-data.net/en/volkswagen-e-up-facelift-2019-generation-7306	42000.0
24	Volkswagen e	2016	Dimensions: 3600 x 1645 x 1492 mm	Hatchback	https://www.auto-data.net/images/f100/Volkswagen-e-Up-facelift-2016_thumb.jpg	https://www.auto-data.net/en/volkswagen-e-up-facelift-2016-generation-7304	43000.0
25	Rinspeed Oasis	2017	Dimensions: 3602 x 1917 x 1517 mm		https://www.auto-data.net/images/f17/rinspeed-oasis-concept_thumb.jpg	https://www.auto-data.net/en/rinspeed-oasis-concept-generation-6288	44000.0
26	Chevrolet Spark	2013	Dimensions: 3721 x 1626 x 1590 mm	Hatchback	https://www.auto-data.net/images/f17/chevrolet-spark-ev_thumb.jpg	https://www.auto-data.net/en/chevrolet-spark-ev-generation-6322	45000.0
27	Chevrolet Spark	2013	Dimensions: 3721 x 1626 x 1590 mm	Hatchback	https://www.auto-data.net/images/f17/chevrolet-spark-ev_thumb.jpg	https://www.auto-data.net/en/chevrolet-spark-ev-generation-6322	46000.0
